"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.02777777777778","3.05555555555556","2.97222222222222","2.94444444444444","3","3.08333333333333","3.07894736842105","3.05263157894737","3.11111111111111","3.16666666666667","3.11111111111111","3.07894736842105","3.11111111111111","3.07894736842105","3.13157894736842","",
"Afganistán","AFG","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"","AFW","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.10526315789474","2.94736842105263","2.94736842105263","2.92105263157895","2.9","2.975","3.175","3.175","3.125","3.225","3.275","3.225","3.275","3.3","3.375","3.375","",
"Angola","AGO","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","3","3","3","3","3","2.5","2.5","2.5","","","","","","","","",
"Albania","ALB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","","","","","","","","","","","","",
"Andorra","AND","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","2.8","2.8","2.8","2.8","2.7","2.6","2.7","2.7","2.7","2.7","2.58333333333333","2.7","2.5","2.5","",
"Emiratos Árabes Unidos","ARE","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3","3","3","3","3","3","","","","","","","","",
"Samoa Americana","ASM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3","","","","","","","","","","","",
"Burundi","BDI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.5","",
"Bélgica","BEL","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
"Burkina Faso","BFA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","3.5","4","4","4","4","4","4","4","4","4","4","",
"Bangladesh","BGD","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.5","2.5","3","3","3","3","3","3","3","3","",
"Bulgaria","BGR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrein","BHR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","","","","","","","","",
"Belarús","BLR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belice","BLZ","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermudas","BMU","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","","","","","","",
"Brasil","BRA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5","4.5","4.5","4.5","4.5","4","4","4","4","4","4","4","4","4","4","",
"Botswana","BWA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Centroafricana","CAF","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","3","3","3","3","2","2","2.5","2.5","2.5","2.5","2.5","2.5","",
"Canadá","CAN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa Central y del Báltico","CEB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas del Canal","CHI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","2.5","2.5","2.5","2.5","2.5","3","3","3","3","3","3.5","3.5","4","4","",
"Camerún","CMR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","3","3","3","3","3","3","3","3","3","3","3.5","3.5","3.5","",
"Congo, República Democrática del","COD","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","3","3","3","3","3","3.5","",
"Congo, República del","COG","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2.5","2.5","2.5","2.5","2.5","3","3","3","3","3","2.5","2.5","2.5","2.5","2.5","",
"Colombia","COL","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoras","COM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2.5","3","3","3","3","3","3","3","3","3","",
"Cabo Verde","CPV","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3.5","3.5","3.5","3.5","3.5","3.5","3","3","3","3","3","3.5","3.5","3.5","3.5","",
"Costa Rica","CRI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estados pequeos del Caribe","CSS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.5","3.5","3.5","3.5","3.5","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.5","3.5","3.6","",
"Cuba","CUB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Checa","CZE","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Alemania","DEU","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3.5","3.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Dominica","DMA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
"Dinamarca","DNK","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Dominicana","DOM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argelia","DZA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81818181818182","2.83333333333333","2.95454545454545","3","3","3","2.96153846153846","3.03571428571429","2.96666666666667","3","3","2.89285714285714","2.89285714285714","2.89285714285714","2.89285714285714","2.96428571428571","",
"inicial del dividendo demográfico","EAR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15","3.18333333333333","3.20689655172414","3.22413793103448","3.25862068965517","3.24137931034483","3.23333333333333","3.25","3.2258064516129","3.23333333333333","3.25","3.22413793103448","3.18965517241379","3.18965517241379","3.24137931034483","3.25862068965517","",
"Asia oriental y el Pacífico","EAS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81818181818182","2.83333333333333","2.95454545454545","3","3","3","2.96153846153846","3.03571428571429","2.96666666666667","3","3","2.89285714285714","2.89285714285714","2.89285714285714","2.89285714285714","2.96428571428571","",
"Europa y Asia central (excluido altos ingresos)","ECA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.1","3.1875","3.1875","3.16666666666667","3.22222222222222","3.125","3.1875","3.1875","3.2","3.2","3.2","3.2","3.3","3.4","3.25","",
"Europa y Asia central","ECS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.1","3.1875","3.1875","3.16666666666667","3.22222222222222","3.125","3.1875","3.1875","3.2","3.2","3.2","3.2","3.3","3.4","3.25","",
"Ecuador","ECU","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egipto, República Árabe de","EGY","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zona del Euro","EMU","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",
"España","ESP","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Etiopía","ETH","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3","3","3","3.5","3.5","3.5","3.5","4","3.5","3.5","3.5","3.5","3.5","",
"Unión Europea","EUU","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8125","2.65384615384615","2.71153846153846","2.63461538461538","2.66666666666667","2.72222222222222","2.85714285714286","2.88333333333333","2.80645161290323","2.81666666666667","2.88333333333333","2.8","2.74193548387097","2.78333333333333","2.80645161290323","2.85483870967742","",
"Finlandia","FIN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",
"Francia","FRA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Feroe","FRO","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","2.5","2.5","2.5","2.5","3","",
"Gabón","GAB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Reino Unido","GBR","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3","3","3","3","3","3","3","","","","","","","","",
"Ghana","GHA","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","3.5","3.5","4","4","4","4","4","4","4","4","4","",
"Gibraltar","GIB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","3","3","3.5","3.5","3.5","3.5","3.5","4","4","",
"Gambia","GMB","Calificación de políticas e instituciones para la sostenibilidad ambiental de la CPIA (1=bajo a 6=alto)","IQ.CPA.ENVR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
