"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25","3.27777777777778","3.27777777777778","3.27777777777778","3.33333333333333","3.38888888888889","3.5","3.5","3.55263157894737","3.69444444444444","3.69444444444444","3.63888888888889","3.55263157894737","3.63888888888889","3.5","3.52631578947368","",
"Afganistán","AFG"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
"","AFW"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13157894736842","3.15789473684211","3.23684210526316","3.23684210526316","3.225","3.25","3.375","3.425","3.425","3.375","3.375","3.475","3.525","3.55","3.55","3.55","",
"Angola","AGO"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","3","3","3","","","","","","","","",
"Albania","ALB"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.5","","","","","","","","","","","","","","","",
"Andorra","AND"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","3.1","3.1","3","3.1","3","3","3.2","3.2","3.3","3.3","3.3","3","3.2","3.08333333333333","3.08333333333333","",
"Emiratos Árabes Unidos","ARE"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG"," Calificación de formación de recursos humanos de las Evaluaciones de las políticas e instituciones nacionales: CPIA (1=bajo a 6=alto)","IQ.CPA.HRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
